"RowID","EmployeeID","AttendanceDate","AttendanceType","CheckIn","CheckOut","DelayTime","OverTime","PersonalExit","DelayProcessed","OverTimeProcessed","PersonalExitProcessed","TotalHours","DelayApproved","OverTimeApproved","PersonalExitApproved","InsertedOn","InsertedBy","UpdatedOn","UpdatedBy","AbsentApproved","AbsentProcessed","IsDeducted","LeaveProcessed","LeaveApproved","IsAdjusted","IsPaid","HPD","HPE","HalfdayApproved","HalfdayProcessed","IsEarly","IsDelay"
40866,"51","2022-09-08T00:00:00.000Z","Present","1970-01-01T10:04:30.000Z","1970-01-01T21:02:05.000Z","1970-01-01T00:00:00.000Z","1970-01-01T02:02:05.000Z","1970-01-01T00:00:00.000Z",false,false,false,"10:57:00",false,false,false,"2022-09-09T11:01:31.943Z","admin",,,false,false,false,false,false,false,false,false,false,false,false,,
40867,"51","2022-09-09T00:00:00.000Z","Leave-Sick","1970-01-01T00:00:00.000Z","1970-01-01T00:00:00.000Z","1970-01-01T00:00:00.000Z","1970-01-01T00:00:00.000Z","1970-01-01T00:00:00.000Z",false,false,false,"00:00:00",false,false,false,"2022-09-09T11:01:31.977Z","admin",,,false,false,false,false,false,false,false,false,false,false,false,,
40868,"312227940","2022-08-30T00:00:00.000Z","Present","1970-01-01T09:58:13.000Z","1970-01-01T21:19:43.000Z","1970-01-01T00:00:00.000Z","1970-01-01T02:21:30.000Z","1970-01-01T00:00:00.000Z",false,false,false,"11:21:00",false,false,false,"2022-09-09T11:01:33.837Z","admin",,,false,false,false,false,false,false,false,false,false,false,false,,
40869,"312227940","2022-08-31T00:00:00.000Z","Present","1970-01-01T10:13:42.000Z","1970-01-01T20:43:29.000Z","1970-01-01T00:00:00.000Z","1970-01-01T01:43:29.000Z","1970-01-01T00:00:00.000Z",false,false,false,"10:29:00",false,false,false,"2022-09-09T11:01:33.867Z","admin",,,false,false,false,false,false,false,false,false,false,false,false,,
40870,"312227940","2022-09-01T00:00:00.000Z","Present","1970-01-01T10:09:51.000Z","1970-01-01T20:39:54.000Z","1970-01-01T00:00:00.000Z","1970-01-01T01:39:54.000Z","1970-01-01T00:00:00.000Z",false,false,false,"10:30:00",false,false,false,"2022-09-09T11:01:33.913Z","admin",,,false,false,false,false,false,false,false,false,false,false,false,,
